fen,score
r2qk2r/ppp2ppp/6b1/3Np3/3nP1P1/3PQ2P/PPP2P2/2KR1B1R b kq - 6 14,-58.0
3r2k1/1p3pb1/pN4pp/3p1b2/8/P2P3P/RPq2PP1/2B1Q1K1 b - - 3 23,521.0
rn1qkb1r/pbpp1ppp/1p2p3/4P3/4nP2/5B2/PPPP2PP/RNBQK1NR w KQkq - 1 6,229.0
rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,-34.0
r2q1rk1/pQpnp1bp/4p1p1/3p4/4P3/2PP1N2/PP3PPP/RN3RK1 w - - 1 12,194.0
1r3rk1/p7/3N3p/1p3pp1/8/6P1/PPP3PP/3R1RK1 b - - 1 24,-566.0
r1bqkb1r/pp1p1ppp/2n2n2/4p3/4P3/5N2/PPP2PPP/RNBQKB1R w KQkq - 2 6,3.0
r1b1k1nr/pp3pp1/2n1p2p/1p6/4P2B/2PP4/PP3KPP/R2Q3R b kq - 1 12,-443.0
3r1n2/p6p/1pk5/2pNp3/2P1P1BP/6P1/Pr3P2/5RK1 b - - 1 30,168.0
r4rk1/p1Q2ppp/8/3b4/3q4/P4P2/P2P2PP/R1B2RK1 w - - 1 17,-622.0
r4rk1/pp1b1ppp/4p3/3p2B1/PPnP4/8/5PPP/RN3RK1 w - - 1 16,-206.0
8/1p4k1/p3p3/5p2/1rNPn3/4PKp1/6P1/8 w - - 0 42,-1395.0
r3kbnr/p2q1ppp/n1Q5/5p2/3P4/4P3/PPP2PPP/RNB1K1NR w KQkq - 1 10,765.0
2r2rk1/7p/Q1Bbb3/5p2/4p1P1/4P3/P2P1P1P/R3K2R w KQ - 2 24,902.0
r4rk1/p2qnpp1/Qp2p2p/3p4/3P4/P1N1PN2/1P3PPP/R4RK1 w - - 3 16,520.0
rnbqkbnr/pp2pppp/2p5/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq - 0 3,-14.0
4r3/8/3b4/p2bpBR1/2p4k/8/P7/6K1 w - - 2 42,-755.0
8/1p2k3/p3p1p1/6Pp/4RP1P/PP1R1P1K/2r5/6b1 w - - 6 41,478.0
r1bqkb1r/pppp1ppp/2n2n2/8/2PN4/4P3/PP3PPP/RNBQKB1R b KQkq - 0 5,4.0
b2q3r/3kbppp/ppn1pn2/1B1p2B1/3P4/P3PN2/1PP2PPP/R2QK2R w KQ - 0 12,583.0
1k1r4/4Rppp/R7/1p6/8/Pr4P1/5P1P/6K1 b - - 0 28,-103.0
r1bqkb1r/pp3ppp/2n1p3/2p5/4pPP1/4P3/PPPP3P/RNBQK1NR w KQkq - 1 8,-282.0
r1b1kbnr/pppp1p1p/6q1/4P1p1/5p2/1P3N2/1PPP2PP/RNBQ1RK1 w kq - 1 9,-47.0
r1bqkbnr/3p1ppp/2n1p3/ppp5/4P3/1BNP1N2/PPP2PPP/R1BQK2R w KQkq - 0 7,133.0
r1bqkbnr/pppppppp/8/1B6/3nP3/8/PPPP1PPP/RNBQK1NR w KQkq - 3 3,35.0
r4rk1/5p2/pp2pp2/8/7Q/5P2/P1q2P1P/3RR1K1 w - - 0 25,541.0
rnbqkbnr/pp1ppppp/8/2p5/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,67.0
4kb1r/p3qp1p/1p1r2p1/2p1n3/2PpQN2/3P4/PP3PPP/RN3RK1 w k - 2 22,189.0
r1b1k2r/3pnp1p/p2QqB2/1p6/8/P4N2/4BPPP/R3R1K1 w kq - 1 20,1011.0
5r1r/2knb2p/1p3n2/3p1N2/1P2p3/P1P1P3/1B4PP/RN3RK1 w - - 3 23,607.0
