fen,score
2kr1br1/pbp5/1p3p2/5n1p/2Pn1P2/2N3BP/PPP4K/R4R2 w - - 3 19,-1371.0
r1bq1rk1/pp4pp/4pn2/3N4/1b6/1B2PN2/PP1BQPPP/R3K2R b KQ - 0 13,-261.0
8/1r4k1/6p1/3p2P1/3PpR2/1r2P2P/5R2/6K1 w - - 2 38,159.0
r2q1rk1/2p2ppp/pb6/3p1b2/1P2N3/4P3/P2B1PPP/2RQK1NR b K - 0 15,68.0
3r3k/2p1b1pp/4p3/1p1b4/2pPpBN1/5PQP/1Pq3P1/4R1K1 w - - 2 25,-137.0
8/5kp1/7p/2pn4/P2p4/3Pn3/3K4/R7 w - - 1 43,-101.0
r2q4/pp3kp1/2pp1br1/5Q2/8/8/PPP2PPP/1K1R3R w - - 2 22,-357.0
r1b2rk1/ppq2ppp/5n2/2p1b3/8/2PP2P1/PP2B2P/RNBQ1RK1 b - - 0 12,445.0
r4rk1/1p3pp1/p5q1/2np3p/8/1PP1PP1B/P5PP/2R1QRK1 w - - 1 25,104.0
8/2k3p1/7p/1K6/P7/6P1/8/8 b - - 0 51,0.0
8/8/6k1/8/6K1/6P1/8/8 w - - 1 64,0.0
8/3k1pp1/1p3r1p/2b5/8/PP4P1/4RPKP/8 b - - 2 31,523.0
r7/5pp1/3p4/3Pp3/4P3/3k1PPp/5K1P/2R5 w - - 6 38,0.0
rnbqkbnr/ppp2ppp/3pp3/8/2B1P3/5Q2/PPPP1PPP/RNB1K1NR b KQkq - 1 3,26.0
2kr3r/pppqb2p/2b1pP1n/3p2p1/P2P4/2N2NB1/1PP2PPP/R2Q1RK1 b - - 0 12,-244.0
r1b2knr/pppp1ppp/8/1P6/1n1Pp3/N3P3/P1P2PPP/R3KBNR b KQ - 2 11,-12.0
2rqnrk1/4p1bp/p3Npp1/1p6/4BP2/P3B2P/1P4P1/R2Q1RK1 b - - 0 23,-532.0
r7/1pp5/p2p1k1r/4p3/3n2B1/3P4/PPP2PP1/R4RK1 w - - 1 23,-14.0
8/p7/5k2/1p1Pp2p/1P2K1pP/2P2p2/5P2/8 b - - 1 45,726.0
r1bqkb1r/ppp1n1pp/3p1n2/3Ppp2/4P3/2P5/PPB2PPP/RNBQK1NR w KQkq - 1 7,-20.0
r2q1k1r/pp2b1pp/1np1P3/7n/3p4/1QP5/PP3PPP/RNB2RK1 b - - 1 13,331.0
1r2r1k1/2p1qpbp/p3bnp1/2p1p3/PP1pP1P1/3P1Q1P/N1PBNP2/1R2K2R b K - 0 17,513.0
6k1/5pp1/8/6p1/1PP5/3R4/r5PP/5RK1 w - - 0 32,798.0
3kr3/p1r1q3/1p1p2p1/2pQ4/3pPR2/3P1P2/PP6/1K2R3 b - - 4 33,37.0
2kr3r/pp1q3p/2n1pp2/2bp4/8/2PB4/PP3PPP/RN1QR1K1 w - - 0 14,-52.0
rn1qk2r/ppp1ppbp/3p1np1/5b2/1PP5/2N5/PBQPPPPP/R3KBNR w KQkq - 4 6,-9.0
2r4r/2q1k3/pp2p2p/8/P1P3pP/3P2n1/3NPR2/2RQ2K1 b - - 1 26,112.0
r2q1rk1/ppp2ppp/2nb1n2/3pp2P/8/NP2P1P1/PBPP1PB1/R2bK1NR w KQ - 0 9,-657.0
rnbqkbnr/ppp2ppp/3p4/8/2BpP3/5N2/PPP2PPP/RNBQK2R b KQkq - 1 4,-15.0
rb2r1k1/6pp/pn6/2Np4/1P1P4/P1N1PKP1/1B5P/2R5 b - - 0 27,3.0
5rk1/br1p1ppp/p7/1p1Np3/1P6/P1P3P1/R4PKP/2R5 w - - 1 23,-19.0
r1bqkbnr/pppp1ppp/2n1p3/8/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,73.0
4rrk1/pp3p1p/3q2pP/3pb1P1/2pPR3/2P1P3/PP2Q3/R3B1K1 b - - 0 25,482.0
rnb2rk1/pp4bp/3p1qp1/7P/4ppQ1/P7/1PPBBPP1/R3K1NR b KQ - 1 20,747.0
rnb1k2r/pp3p2/2pbp1q1/3p3p/4P3/3PB2P/PPP1B1P1/RN2QRK1 b kq - 2 12,3.0
2b3qr/4n1kp/p1r3p1/2NpPpN1/3P1P2/7Q/1P4PP/2R1R1K1 b - - 0 29,-410.0
rnbqkbnr/ppp1pppp/8/3p4/2PP4/8/PP2PPPP/RNBQKBNR b KQkq - 0 2,-39.0
r1b1k2r/p2pn1p1/p1pq3p/4pQ2/1PP5/P4N2/5PPP/R1B2RK1 w kq - 1 17,121.0
7r/2R5/p2Ppp2/k1PnP3/P2N1P2/8/1P2K3/1R5N b - - 2 35,-1144.0
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,-30.0
rn1qk3/p1pp1p1p/1p2p3/8/8/1P3Q2/PBPPKP1P/R5r1 b q - 1 13,570.0
8/1KP5/8/7p/8/7k/8/6q1 w - - 0 65,-21.0
r4rk1/2q1bppp/3pbn2/1p1Pp3/4P3/PpP2N1P/5PP1/R1BQRNK1 b - - 0 19,24.0
r1bq1rk1/pppnpp2/3p1bpp/3P4/4P3/2NB1N2/PPP2PPP/R2QK2R w KQ - 2 9,-59.0
8/2p1rp1k/pq4p1/4p1rp/P3B3/5QPP/2P1R3/4R2K w - - 1 38,359.0
3R4/1p3p2/p6p/3N4/5pk1/8/PPP2PPP/3K4 w - - 2 33,1053.0
r2q2k1/pp3ppp/2nb1n2/2p5/3p2b1/3P1NQ1/PPP1NPPP/R1B2RK1 b - - 0 18,585.0
r7/p3R1pp/1p1PR2b/1Npn1k2/6P1/7P/PPP2P2/6K1 b - - 0 29,-811.0
r2qk1nr/ppp1ppbp/3p2p1/3P2N1/1n2bB2/N7/PPP1PPPP/R2QKB1R b KQkq - 6 8,160.0
rnbqkbnr/p2ppppp/1pp5/4P3/8/2N3P1/PPPP1PBP/R1BQK1NR b KQkq - 0 5,-122.0
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,41.0
r1b2rk1/pp1pnpbp/1qn1p1p1/2p5/4PP2/2PP2PP/PP2N1B1/RNBQ1RK1 b - - 0 9,5.0
r4rk1/5ppp/pN6/3pp3/1p4P1/1P1P4/1PP1N3/R3K2R b KQ - 1 21,-647.0
3r4/3n3k/p1b1p1p1/1pP1P2p/1P3r1q/P3Q2P/1B4B1/3RR1K1 b - - 0 31,161.0
r2q1r1k/pp4pp/3bQ3/2p5/4p1P1/7P/PPP2P2/R1B2RK1 w - - 0 20,37.0
2b4k/4qr1p/2pp2pP/1p2p3/r3Pp2/2NP1Q2/1PP1K1R1/6R1 b - - 1 26,411.0
1r3r2/2qn1kn1/p2b2p1/2pP1PP1/1p2N1BN/4B2Q/PPP5/2K4R w - - 1 29,875.0
r2qk2r/1pp2ppp/4pn2/nP1p1b2/Pb1P4/2N1P3/1B3PPP/R2QKBNR b KQkq - 2 10,350.0
8/1B6/3p1p2/4p3/K2rP3/4k3/8/8 w - - 2 71,-3343.0
1r1q1rk1/1p3ppp/p3pn2/2Pp4/2NP4/5N2/PP2QPPP/R4RK1 b - - 0 18,-112.0
rnb2rk1/pp2ppbp/2pp1np1/7q/2P1P3/2NP2P1/PP2NPBP/R1BQ1RK1 w - - 4 9,85.0
r4rk1/4npp1/p2Q3p/4p2q/4P3/4B3/1PP1bPPP/R3NRK1 b - - 1 20,139.0
8/3pk3/3n2N1/8/r4PK1/6P1/7P/8 b - - 2 39,474.0
4rk1r/pp2np2/7p/3p2p1/8/P1PR1P2/2P2KPP/3R4 w - - 1 27,-448.0
2kr4/ppq2pp1/2pb2p1/2p5/4Q3/1P4P1/PBP4P/R3K1NR b KQ - 0 19,-601.0
8/p2B4/1p3kp1/7p/P2n1K2/8/8/8 w - - 6 45,-670.0
2r5/2P1k3/4b3/1B5p/3pP3/3K4/5bP1/8 w - - 0 41,-998.0
4r1k1/pb3ppp/1p1p4/1P1P4/5P2/4r1P1/PB1N2BP/R2R2K1 w - - 3 22,797.0
rn1qk2r/pb2bppp/1p3n2/3p4/1P6/P1N1P3/1B3PPP/R2QKBNR w KQkq - 0 10,67.0
8/pp3p2/2p3p1/3pk3/1P2r3/P2K4/2R5/8 w - - 0 34,-574.0
8/2p3kp/1p1p1bp1/3P1n1P/1PPr1P2/1Q3K2/8/8 w - - 3 42,-513.0
1r3rk1/p1q3pp/2b5/2p1pp2/4N3/1P1P4/1PP1QPPP/R4RK1 w - - 0 21,152.0
r4rk1/4Rp2/6pp/2p1p3/2B1P3/1P4P1/1P3P1P/3R2K1 b - - 0 26,-623.0
r3kbnr/p3pppp/2pp4/8/3qP3/2N1BQ2/PP3PPP/R3K2R b KQkq - 1 10,-18.0
2kr3r/pp1n2p1/1q3p1p/2b5/P1Qp4/5N2/1PPB1PPP/1R3RK1 b - - 1 16,-65.0
r1bqkb1r/p2p1ppp/2p2n2/4p1B1/8/2P4P/PP2PPP1/RN1QKB1R b KQkq - 1 7,84.0
r2qk2r/ppp2ppp/2npbb2/3Np3/4P3/3P1N2/PPP2PPP/R2QKB1R w KQkq - 2 8,-28.0
1n3k2/r4pp1/p2P3p/b2PNB2/Pp6/8/4RPPP/6K1 b - - 3 27,-394.0
1rbq1rk1/1p1n1pb1/p2ppnpp/8/2PPN2B/3B1N2/PPQ2PPP/R3R1K1 b - - 1 13,-60.0
4r1k1/6pp/p1p1b1q1/Pp4b1/1P1PQ3/2P3N1/6PP/R4RK1 b - - 0 29,-350.0
2r5/pp1b2pp/2ppk3/8/n2PPp2/1P2P2P/P2R2P1/5RK1 w - - 0 22,259.0
r2q1rk1/1p3ppp/2n1pn2/pB2N3/Qb4b1/2N1P3/3P1PPP/R1B1K2R w KQ - 2 13,-41.0
r1bq1rk1/pppp1ppp/2n2n2/2b1p1B1/2B1P3/3P3N/PPP2PPP/RN1Q1RK1 b - - 6 6,82.0
r3k2r/1p1qppbp/p1n1b1p1/2p4n/3pPB2/2PP1PP1/PP1QN1BP/2R1R1K1 b kq - 0 15,529.0
1r1q1rk1/2n1bppp/2bp1n2/Q7/1p2PB2/P1NB1N2/5PPP/R4RK1 w - - 0 17,77.0
r2qkbnr/1ppb1ppp/p1n1p3/1B1pP3/8/5N2/PPPP1PPP/RNBQ1RK1 w kq - 0 6,33.0
2r2rk1/R4ppp/P7/7n/3Q4/1P5P/6PK/8 b - - 0 30,-576.0
2r5/p4k1p/3p2p1/4n3/8/3P4/PPP3PP/R1B3K1 w - - 1 26,275.0
r1b2rk1/p1q1bppp/2p5/1pn1p3/4P3/BP3NP1/Pn2QPBP/R4RK1 w - - 0 19,-150.0
r3k2r/ppp1n1p1/2nq1pbp/4p3/2B3P1/P2P1N1P/1PPB1P2/R2QK2R w KQkq - 0 14,-37.0
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,38.0
R7/R5pk/4K3/p4p1p/5r2/8/8/8 w - - 0 51,350.0
rn1qkbnr/pbpp1ppp/1p2p3/8/2B1P3/3P1N2/PPP2PPP/RNBQK2R b KQkq - 0 4,-30.0
2r1r1k1/4qppp/6b1/p3P3/1P1P4/2R3N1/1P1Q2PP/4R1K1 b - - 0 25,-128.0
r4rk1/2pq1pp1/pp2pn1p/3p4/R2P4/2NPPQ1P/1P3PP1/5RK1 w - - 0 15,-128.0
8/8/1n2pk2/5p2/3P1B2/1r1p3P/5KP1/3R4 b - - 6 41,11.0
8/7k/1p1r1pR1/p1p4P/P1P5/2K5/8/8 w - - 2 38,0.0
1k1r3r/pp3Q1p/6p1/1q6/8/4B3/1P3PPP/2R2RK1 b - - 1 21,-638.0
8/pp3p2/2p2k2/3p2p1/3P4/4K1P1/PP2NPb1/8 w - - 2 35,-45.0
r4rk1/2p2ppp/4b3/8/p2N3P/P2Pn1P1/1P6/2KR1B1R w - - 3 26,6.0
r3kb1r/1bpn1ppp/pq2pn2/1p6/5B2/2NP1N2/PPPQBPPP/R4RK1 w kq - 2 11,14.0
1rb2kr1/p1N2Q2/1p1p2p1/8/2P1P3/2N5/P1B2PPP/2R1K2R b K - 0 24,-802.0
r2q1rk1/p1ppbpp1/b1p4p/3nP3/5P2/8/PPPQ2PP/RNB1K1NR w KQ - 1 11,-273.0
8/5pk1/4p1p1/4P2p/5P2/1r4PK/3R3P/8 b - - 3 51,0.0
rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,32.0
rn1q3r/1p2kppp/p2Np3/3pPn2/2pP4/5N2/PPPQ1PPP/R4RK1 w - - 2 13,550.0
r1bqkbnr/pppp1ppp/2n5/8/4P3/2Q5/PPP2PPP/RNB1KBNR b KQkq - 2 4,535.0
2kr1bnr/pppq1ppp/6b1/3P4/2QpP3/2N2N2/PP3PPP/R1B1KB1R w KQ - 0 10,616.0
rnbqkb1r/ppp2ppp/5n2/3p4/3Pp3/2P1P3/PP1N1PPP/R1BQKBNR w KQkq - 0 5,-62.0
2k1r2b/1bpq1p2/p6p/1p6/3P2P1/P1P1BP1P/BPR5/R2K2N1 b - - 0 24,589.0
8/p3k2p/5p2/1p6/8/1P2PK1P/P4PP1/8 w - - 0 30,543.0
8/3R4/5k2/5p1p/8/r4N1P/6PK/8 w - - 4 47,657.0
r2qk2r/pQpbbppp/n4n2/3Pp3/2B1P3/2N5/1P3PPP/R1B1K1NR w KQkq - 2 11,489.0
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,33.0
rn1q1rk1/ppp1bppp/4bn2/3p4/3P4/1B2BN2/PPP2PPP/RN1QK2R w KQ - 3 8,-7.0
r2qr1k1/1p3pp1/2p1b2p/p2pP3/3P1Q2/P1P2R2/1PB3PP/R5K1 b - - 0 20,-75.0
rnbq1rk1/p3bp2/4p2p/3pP3/8/1PNQ1N2/5PPP/R3K2R w KQ - 0 16,-306.0
1k1r1b1r/1pp2Qpp/p7/5R2/P2N4/1Pq1P3/6PP/R5K1 w - - 0 20,-490.0
r2q1rk1/p4ppp/2pb2n1/2pp4/5Pb1/2NP1NP1/PPP4P/R1B1QRK1 b - - 2 12,177.0
r4rk1/4q1pp/p3p3/1pNp1p2/1PnPnP2/P1B5/5PPP/1R1Q1RK1 b - - 0 19,486.0
8/8/8/8/8/5RKP/4k1P1/3r4 b - - 6 45,-721.0
rn1qk2r/pp3ppp/2pb1n2/4p1B1/N1PpP1b1/3P1NP1/PP3P1P/R2QKB1R w KQkq - 6 9,-162.0
r1bq1rk1/1pb2p1n/p1p2n1p/3p3N/3Pp1B1/1P2PP1P/PBP3P1/R2QK2R w KQ - 1 17,-344.0
r2qkbnr/ppp2ppp/3p2b1/4n3/4P3/5N1P/PPP1BPP1/RNBQK2R w KQkq - 5 9,64.0
r1bqkbnr/p2p2pp/2p1pp2/1B2n3/1PP5/P3P3/1B1P1PPP/RN1QK1NR w KQkq - 0 7,132.0
r1bq1rk1/pp1p1ppp/2n1p3/2b5/2n5/P1N1PNP1/1P3PBP/R1BQK2R w KQ - 0 11,-98.0
rnbqkb1r/ppp1pppp/5n2/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq - 2 3,29.0
1r6/5pk1/6p1/3p3p/1P1P1P1P/2P3P1/5K2/2R5 b - - 2 38,-460.0
6k1/2p2pp1/7p/1P6/8/P3nN2/6PP/3R2K1 b - - 0 33,-172.0
8/1k6/1p3Np1/1p2pp1p/8/3nP3/1PK2PPP/8 b - - 2 32,342.0
rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,29.0
rnbqkbnr/pp2pppp/3p4/8/4P3/2p2N2/PP3PPP/RNBQKB1R w KQkq - 0 5,-17.0
8/3b4/3k2p1/1p1Pp2p/1P2P2P/2N3b1/3KB3/8 b - - 1 41,27.0
r2qr1k1/p1pb1ppp/2p2n2/4P3/2Q2B2/2P2N2/PPP3PP/3R1RK1 b - - 4 14,-207.0
3r1rk1/pp4p1/2p1pn1p/2q1p3/P3P3/2P2NN1/2Q2PPP/R3R1K1 w - - 5 20,482.0
rn1qkb1r/pppb1ppp/4pn2/3p4/3P4/1QP1P3/PP3PPP/RNB1KBNR b KQkq - 3 5,58.0
rnbqkbnr/pp1ppppp/8/2pP4/8/8/PPP1PPPP/RNBQKBNR b KQkq - 0 2,-70.0
r3r1k1/pp1n1pp1/5n2/3P2p1/1P5P/P4K2/4N3/R7 b - - 2 26,1088.0
r2qkb1r/1ppbpppp/p1n2n2/8/B2P4/2N2N2/PPP2PPP/R1BQ1RK1 b kq - 1 8,-103.0
5R2/2N2ppk/2p4p/1p2pb2/1P3r2/6KP/5P2/8 b - - 3 34,560.0
rnb2k1r/ppp1Rppp/3p4/6Bq/3P4/2NB1N2/PPP2PPP/R2Q2K1 b - - 2 12,-839.0
r4rk1/p1p1bppp/2qp1n2/1pB5/4P1b1/1Pp2N2/P1Q1BPPP/R3K2R w KQ - 0 14,-337.0
r2qk2r/bbppnppp/p1n1p3/6B1/2BPP3/P1N2N2/1P3PPP/R2QR1K1 b kq - 2 10,-147.0
2k3r1/1p1rbp2/1Pp1p2p/4B2P/3P1N2/2N2p2/P4K2/RR6 b - - 3 33,-478.0
2kr3r/p5pp/1p2qn2/1Nbpn3/5Q2/1R4P1/P1P1PP1P/1R4K1 w - - 0 21,-670.0
r1bqk2r/pppp1pbp/6p1/8/3BP3/2N5/PPP2PPP/R2QK2R b KQkq - 0 9,-148.0
6k1/p4ppp/Q3b3/2qp4/8/5PP1/PrP3KP/4RB2 b - - 3 28,265.0
7k/5bp1/5p1p/1p1p4/p1qQ1B2/2P4P/P4PPK/8 w - - 8 36,0.0
r3kbnr/pp1b1ppp/1qn1p3/3pP3/3P1P2/P4N2/1P4PP/RNBQKB1R b KQkq - 0 8,49.0
1nbr4/4p3/7k/1B3nN1/7p/2N4P/5PP1/5RK1 w - - 1 26,562.0
rnbqkbnr/ppp2ppp/4p3/8/2B5/2N2Q2/PPPP1PPP/R1B1K1NR b KQkq - 1 5,12.0
r4r1k/ppq3p1/2b1pb2/4np2/8/2N1B3/PPQ1BPPP/2R2RK1 b - - 11 20,54.0
rn1qkbnr/pp2ppp1/2p4p/3p1b2/3P4/P3P2P/1PP2PP1/RNBQKBNR w KQkq - 0 5,7.0
r1b2rk1/1pp3pp/p3pb2/N1Pn1pq1/1P1Pp3/P3P1P1/1B2BP1P/1R1Q1RK1 b - - 8 17,63.0
r1bqkbnr/ppn2ppp/3p4/4p3/1p6/P1P1P1PP/3P1P2/RNBQKBNR w KQkq - 0 7,0.0
1k3r2/ppp2r2/4Q1p1/6bp/3N4/1P1q1P2/P5PP/R4RK1 w - - 0 26,0.0
r1bqk1nr/pp1np2p/5Ppb/1p6/8/2N2N2/PPP2PPP/R2QK2R w KQkq - 0 10,-509.0
4r3/ppnq3k/2pp2bp/6p1/3PP3/2P3QP/PP1N1RP1/5RK1 w - - 5 27,561.0
8/3b1p2/1kp1qB1R/1p1pPp2/pP1Pr3/P1PK1Q2/8/8 w - - 7 62,413.0
r2qkbnr/p4p1p/b1p1p1p1/2P1p3/pP1P4/Q7/P2B1PPP/R3K1NR w KQkq - 0 14,-474.0
6k1/2B4p/8/3p1pp1/4p3/7r/2K5/8 b - - 2 47,4724.0
5r1k/p5b1/1p4p1/8/3r1P2/3p2B1/PP5P/3R1K2 b - - 0 34,651.0
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,-21.0
6k1/ppp2pp1/3b3p/7B/8/3K3P/PPP2PP1/R2Qr2q w - - 0 20,587.0
8/5p1k/b1qbn1p1/2p1p3/p1p1P1P1/P1P1BPNP/1P1Q2B1/6K1 b - - 2 38,-157.0
r4rk1/p1pp1pbp/1pnnp1p1/8/4B3/8/PPP2PPP/RNB1R1K1 w - - 5 15,-332.0
rnbqkbnr/ppppp1pp/8/5p2/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,65.0
r1b1k2r/pp1p1pp1/1bp4p/3Np3/P1B1P3/3P1P2/1PP2P1P/R4RK1 w kq - 0 13,-18.0
r2q1b2/1p1kn2Q/p2p4/3pp1p1/4P3/3P4/PPP2PPP/R1B1K2R b KQ - 0 15,-574.0
7Q/pp6/5k2/2r2p2/4pR2/4P3/8/5K2 b - - 0 41,-3633.0
8/p6p/2k1r3/5N2/3R1pP1/5P2/PP5P/1K6 w - - 3 32,639.0
r2r2k1/p4ppp/1p1q4/3P4/5P2/3Q4/P5PP/1R1R3K w - - 1 25,0.0
1R6/2P1kp2/5p1p/p7/8/1P6/1P6/2K4r w - - 1 31,691.0
r2qk1nr/ppp2pp1/2B3b1/2b1p2p/4P1P1/2PP1N1P/PP3P2/RNBQK2R b KQkq - 0 9,-147.0
2k1r1nr/2pq4/p2pbp2/1p4pp/3PP3/2PQ2P1/PP1B3N/2K1R2R w - - 2 22,-18.0
r1bqk2r/ppp2ppp/3p1n2/2bPp3/3nP3/P1N1B3/1PP1NPPP/R2QKB1R b KQkq - 1 7,-29.0
r2qk2r/p4pp1/b3pn1p/b5B1/2P1P3/3n1Q2/P3NPPP/RN3RK1 w kq - 0 16,-385.0
rnbqk1nr/pp3pbp/2p1p1p1/3pP3/3P4/2P2N2/PP3PPP/RNBQKB1R w KQkq - 0 6,138.0
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,30.0
r2q1rk1/p1p2ppp/1pnp4/1B6/8/1NP1pN1P/PP3nP1/R2QK2R w KQ - 2 14,113.0
4k2r/r5p1/b3p3/3p1p1p/2qP1B2/2N3P1/PPP4K/R2R4 w k - 2 19,-667.0
rnbqkbnr/pp2pppp/3p4/2p5/4PP2/8/PPPP2PP/RNBQKBNR w KQkq - 0 3,8.0
rnb1kbnr/2q1pppp/pppp4/8/3PP3/2PB1N2/PP3PPP/RNBQK2R w KQkq - 2 6,157.0
4k3/1p3p1p/1p6/2b1p1r1/2P5/pr3PP1/R3B1KP/5R2 b - - 2 31,483.0
6k1/6pp/3p4/4p3/p2pP3/P1rR3P/1K6/8 w - - 1 36,-683.0
rnbq1rk1/ppppppbp/5np1/8/2PP4/2N1P3/PP3PPP/R1BQKBNR w KQ - 1 5,32.0
2r2k2/5p2/p6r/6p1/2nP2R1/2P3p1/1P4N1/2R3K1 b - - 1 39,54.0
r1bk2nr/1pp3pp/p2b1p2/4p3/2B1P3/2N5/PPP2PPP/R1B2R1K b - - 1 10,-27.0
6k1/p1p5/1p6/4q1Pp/7P/5R2/P4RK1/8 b - - 0 74,24.0
5rk1/5pp1/p1R1p2p/1p6/1P1P4/2P3P1/3Q2PK/q7 w - - 1 32,0.0
rnbqkbnr/pp3ppp/4p3/3pP3/2pP4/2P2N2/PP3PPP/RNBQKB1R b KQkq - 0 5,-71.0
r1b1k2r/ppp1qpp1/3p3p/3Bp3/4P3/3P1P2/PPP2QPP/R3K2R b KQkq - 2 12,10.0
8/8/2k5/P1P2p2/1K2bPp1/1p4P1/1B6/8 b - - 0 47,0.0
rn1qk1nr/pbp2ppp/1p2p3/8/3P4/P1PB1N2/2P3PP/R1BQK2R w KQkq - 2 9,73.0
r2qk1nr/pp2ppbp/2bp2p1/8/3NP3/2P5/PP3PPP/RNBQR1K1 b kq - 0 9,7.0
rnb1k1nr/p1p2ppp/1p2p3/3pP3/1b2q3/1PQBB2N/P1P2PPP/RN2K2R b KQkq - 5 9,761.0
rnbqkbnr/ppp2pp1/4p2p/3p4/1P6/5N2/PBPPPPPP/RN1QKB1R w KQkq - 0 4,22.0
rn2k1n1/pp2q1b1/3p1p2/4p1N1/2P5/1P2P2r/PB2NPRP/1R1QK3 b q - 0 17,204.0
rn5r/6pp/p4Bk1/1p4N1/2p1b3/8/1P3PPP/3RKB1R b K - 0 17,42.0
r2qkb1r/pp1n1ppp/5n2/3p4/8/1P3N2/P2P1PPP/RNBQ1RK1 b kq - 1 9,-11.0
4r3/pp3kpp/2p2p2/3p4/5PP1/1PN5/P3K2P/8 w - - 1 28,-564.0
8/6R1/7p/2pk4/3p2p1/3Pn3/3K4/8 w - - 0 51,-23.0
r1bq1rk1/ppp2p2/4pnp1/7p/2BP4/8/PPP2PPP/RN1Q1RK1 w - - 0 12,5.0
rn2k2r/ppp1qppp/1b1p1n2/8/3PP1b1/2N2N2/PPP1BPPP/R1BQK2R w KQkq - 4 8,204.0
7r/5Rp1/3bp3/1k1n2Bp/3Pp3/8/5PPP/2R3K1 w - - 3 27,517.0
rnb1kbnr/ppppqppp/4p3/8/2BPP3/5N2/PPP2PPP/RNBQK2R w KQkq - 3 5,169.0
r3r1k1/p1qb1ppp/1p1p1n2/PPn1b3/1BPN4/5P2/1Q4PP/R2R1B1K b - - 6 28,475.0
r5k1/4bpBp/1q1pp3/1Npn4/Pp6/6P1/2RPPP1P/Q1R3K1 b - - 0 23,-435.0
1rb1r1k1/5p2/p2p1P2/3P2pp/2PP2P1/RP1R1K1P/2B5/8 b - - 1 31,-328.0
rnbqkbnr/ppp2ppp/3pp3/8/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq - 1 3,-64.0
r1b2rk1/pp1nppbp/3p1np1/q7/1P1PPB2/P2B1N1P/5PP1/RN1QK2R b KQ - 0 10,-33.0
r2qk2r/pp1nppbp/2p1b1p1/4P3/5B2/P1Q2N1P/1PP2PP1/R3KB1R b KQkq - 2 11,0.0
8/3n3p/1p1Pk1p1/p3PpP1/1p1K1P1P/P7/8/8 w - - 0 43,-665.0
r2qr1k1/pp1nbppn/2p3bp/3p2P1/3P4/1BN1BN2/PPPQ1P1P/2K3RR b - - 0 14,69.0
3r2k1/pbq2ppp/1p2pn2/8/3r1P2/P1P3N1/1PQ3PP/R4RK1 w - - 0 23,-586.0
r1bqkbnr/ppp1pppp/2n5/3p4/3P4/4PN2/PPP2PPP/RNBQKB1R b KQkq - 0 3,-38.0
8/5k1p/8/8/p3P3/P4KP1/1Br4P/8 b - - 6 38,743.0
2r5/1RPk2p1/7p/5p1P/5P2/3K4/2P3P1/8 w - - 7 48,549.0
r1b3nN/pppkq1pp/2np1p2/4p2Q/2B1P3/3P4/PPP2KPP/RNB4R w - - 2 10,1028.0
r2n1rk1/ppp2p2/7p/1N1Pq1p1/3pB1b1/P2QP3/1P3PPP/R4RK1 b - - 1 17,0.0
rnbqkb1r/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 2,26.0
r2qkb1r/ppp2ppp/2n2n2/3pp3/6b1/3P1NP1/PPP1PPBP/RNBQ1RK1 w kq - 0 6,-12.0
4r3/1pk2p1Q/4q3/2brPpB1/1n5P/3p1N2/5PP1/R2R2K1 w - - 4 26,120.0
4R3/8/1p6/2p5/2k1N3/3n2K1/P4P2/8 w - - 0 46,617.0
r1bk2nr/pppp1ppp/2n5/8/2P5/2p2N2/P1Q1PPPP/R3KB1R w KQ - 0 9,584.0
rnbqkbnr/ppp1pppp/8/3p4/2PP4/8/PP2PPPP/RNBQKBNR b KQkq - 0 2,-33.0
r3k2r/pp1b1ppp/2nqpn2/1B1p4/8/5N2/P1P2PPP/1R1Q1RK1 w kq - 8 15,-619.0
5rk1/2R2pp1/2p3bp/p3P3/PbP2K1P/1r3N2/7R/1N6 w - - 1 34,-270.0
r2qk2r/1p1b1pbp/p1np1np1/4p1B1/B3P3/2N2N1P/PP2QPP1/R4RK1 w kq - 0 12,64.0
1Q4k1/5pp1/6q1/3r4/6p1/6P1/P4PK1/4RR2 b - - 1 43,-3694.0
2r2rk1/2qBbppp/4p3/2Pp4/1P1P1P2/4BQ2/6PP/R4RK1 b - - 0 21,-360.0
