fen,score
r2q1rk1/ppp2pp1/7p/4n3/8/P4P2/BP1Q1P1P/R4RK1 w - - 0 19,-203.0
r2q1rk1/pppbnpbp/2n1p1p1/6B1/Q1BP4/2N1PN2/PP3PPP/2R2RK1 w - - 7 12,119.0
2r2r2/pp1nn2p/1qp1Nkp1/3p1p2/8/1P2P3/P1P1BPPP/R2QK2R w KQ - 2 17,312.0
rnbqkb1r/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 2,48.0
rnbqr3/p4kpp/5n2/1p6/2pB4/8/PQ3PPP/RN3K1R b - - 1 17,-528.0
5rk1/pb2q1pp/2nr4/1p3pP1/4pP1P/P3Q3/1PP1N3/R3K1NR w - - 1 24,-74.0
8/4R3/4k1p1/5pBp/1p2r3/7r/3K4/1R6 b - - 1 43,-5.0
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,1.0
rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,25.0
2B3k1/pb2b1p1/1p1q1rNp/2npp1nP/8/PP2PP2/1BPQ4/1K1R2NR b - - 0 20,235.0
7R/1kr5/2p3p1/1pBpn3/1P6/4P2P/5PP1/6K1 w - - 7 38,262.0
rn5r/3bk2p/4p1p1/p2p4/1p1QpP2/1Pp3N1/P1P1B1PP/2KR1R2 b - - 1 22,557.0
r3k2r/pp2qp2/n1p1pn1b/2Pp4/1P1P1p1p/P3PN1P/3N1PP1/R1BQ2RK w kq - 0 15,110.0
rn1qk2r/1ppb1pp1/p1n1p3/3p3p/1P1P4/2B2B1P/P1P2PP1/R2QK1NR b KQkq - 0 12,-101.0
r1bqkbnr/pp3pp1/7p/n2pP3/8/2N2N2/PPP1BPPP/R1BQ1RK1 b kq - 1 9,349.0
rnbqk2r/ppp1bppp/4pn2/2Pp4/3P4/4PN2/PP1B1PPP/RN1QKB1R w KQkq - 1 7,40.0
r2q1rk1/1pp2ppp/p1n5/3p4/1b1P4/5P1P/PP2NPP1/R1BQR1K1 w - - 1 13,-31.0
2k2r1r/1pp3p1/p1qppn1p/4p3/4P3/2P1B2P/PP1N1PP1/R2QR1K1 b - - 3 17,389.0
r2qk1nr/ppp1ppbp/3p2p1/3Q2N1/5B2/N1n5/1P2PPPP/R3KB1R w KQkq - 0 11,513.0
r1b1k2r/pp1n3p/4pp2/3p3q/8/3B1NbP/PPQ2PP1/R4RK1 w kq - 0 18,128.0
R7/4k3/4n3/5P2/6K1/2r3P1/8/8 b - - 4 52,3.0
3rk2r/pp2bppp/n7/8/2BN1BP1/8/PPP2P1R/R3K3 w Qk - 1 18,671.0
r2qkbnr/p1pppppp/np6/8/3PP3/8/PPP2PPP/RNBQK1NR w KQkq - 0 4,100.0
r3kb1r/p1p1pppp/2p5/3qP3/3Pp1b1/2P2P2/PP2Q1PP/R1B1K1NR b KQkq - 0 11,53.0
4r1k1/pp3rn1/8/2p2b2/1q1P3Q/R3B3/PP3PPP/2KR4 w - - 0 28,-253.0
rnbqkbnr/pp3ppp/4p3/2Pp4/8/2P2P2/PP2P1PP/RNBQKBNR b KQkq - 0 4,-134.0
r2r3k/1pp1b1pn/2n1B2p/p3Pp2/1P6/P4N1P/5PP1/R1B1RNK1 w - - 0 23,521.0
r2q1rk1/b1pn1pp1/p1npb2p/1p2p3/1P2P3/PN1P1N1P/BBP1QPP1/R4RK1 b - - 5 13,-10.0
r3r1k1/p3Bpp1/n1p4p/3p1p2/2pP4/2P3P1/P1P1PP1P/R3K2R w KQ - 0 19,-56.0
r1b2rk1/pp3ppp/n2p2qn/2p3N1/2PBP3/P2B3P/2P2PP1/1R1QK2R w K - 2 14,118.0
rnbqkbnr/1p1p1ppp/p3p3/2p5/2B1P3/P4N2/1PPP1PPP/RNBQK2R b KQkq - 0 4,58.0
8/3Q1pk1/4p1p1/2Npq2p/8/5P1K/8/8 w - - 0 45,-106.0
rnbqkb1r/p1p2ppp/5n2/Pp1p4/1P2p3/2P1P3/3P1PPP/RNBQKBNR w KQkq b6 0 6,39.0
r2qk2r/1ppbbp2/p2p3p/3Pp1p1/nPP1P3/P2B2PP/3B1P2/R2QK1NR b KQkq - 2 16,-12.0
r1bqk1nr/pp2ppbp/2np2p1/8/3PP3/2N2N2/PP3PPP/R1BQKB1R w KQkq - 2 7,66.0
r4rk1/5p2/2p1b2p/1p2nRp1/p2pP1PN/q2P4/P1P1B3/RQ4K1 b - - 1 20,-388.0
4r1k1/p5b1/2p5/8/3P1K2/1P6/P7/q7 b - - 3 46,-791.0
r3k1nr/pBp4p/5bp1/5p2/1n1Pp3/2N1P3/P1Q2PPP/R3K1NR b KQkq - 0 14,-53.0
1k4rr/ppp1R3/2n2p2/1N1p4/3P1N2/8/PPPK1p2/8 w - - 0 27,-551.0
8/2r5/1p2Pk2/p2K4/2P3Bp/1P5P/P7/8 b - - 4 50,-100.0
2kr3r/1pp5/p1nb4/4qp1p/2P3n1/1P3NP1/P1Q1P2P/RNB2RK1 b - - 0 20,-836.0
rnbqkbnr/ppp1pppp/8/3P4/8/8/PPPP1PPP/RNBQKBNR b KQkq - 0 2,38.0
2kr3r/pp1q1pp1/2n1p3/3p4/1b1P1P1p/4PB1P/PP1N2P1/R1B1QRK1 w - - 2 16,420.0
1nkr1b1r/pbp5/1p2pp2/1P4pp/P1P1Pn2/2N2N2/2Q1BPPP/3R1RK1 b - - 1 16,401.0
r1bq1rk1/1pp1npp1/p2p3p/3N4/1PBQP3/P7/2P2PPP/R3K2R b KQ - 0 13,0.0
8/8/8/8/1K6/1PR5/3k4/1q6 b - - 14 63,-182.0
2rq1rk1/1b1n1ppp/pp2pb2/2p5/8/1PNP1P1P/PBP1B1P1/R2Q1RK1 w - - 0 15,-137.0
1n6/ppN3kp/2p3p1/6B1/2BP2n1/2P3P1/PP2Rr1P/R5K1 w - - 0 29,949.0
8/8/8/8/5kp1/3rpp2/1K6/8 w - - 2 62,-769.0
r1bqkb1r/ppp1n3/3p3p/3Ppp2/2P1Pp2/1P1B1P2/PB1N2PP/R2QK2R w KQkq - 0 12,65.0
r4rk1/pp2Rppp/3P1n2/2p5/2Bp4/3P2Pb/PPPN1P1P/4R1K1 b - - 3 18,260.0
rn1qr1k1/1bp1ppbp/1p1p1np1/p2P4/2P5/1P2PN2/PBQNBPPP/R3K2R b KQ - 1 10,8.0
rnb1k3/ppppqpbr/4p1pn/4P2p/3P1P2/2NBBNP1/PPPQ1K1P/R6R w q - 13 12,304.0
4rr2/p2R2k1/1p6/2p2p2/2P2P2/1PKB1qP1/P1Q1b2P/R7 b - - 12 33,25.0
8/8/1p1k1b2/1NpP1P2/P3K3/8/8/8 b - - 4 44,181.0
r1b2rk1/p4ppp/1p2p3/3p4/3P1P2/4b2P/1B4P1/1R1B1RK1 w - - 0 22,-385.0
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,1.0
5rk1/3r1ppp/5n2/8/8/1P4P1/P3PP1P/2R1K2b b - - 2 20,-725.0
r2qkb1r/1pp1pppp/p1bp1n2/4P3/3P4/2N2N2/PPP2PPP/R1BQK2R b KQkq - 0 7,-5.0
rnbqk2r/pppp2pp/4pn2/5p2/2PP4/4PN2/PP1N1PPP/R2QKB1R b KQkq - 0 6,38.0
1r2kbnr/p2n1ppp/2p1p3/q1PpPb2/3P4/5N2/P2NBPPP/R1BQK2R b KQk - 4 10,-91.0
6nr/1q2ppbp/3pk1p1/2B5/Q3PN2/8/5PPP/1r1R2K1 b - - 4 24,52.0
r2q1rk1/ppp2ppp/2np1n2/2b1p1N1/2P1P3/2N4P/PPP2PP1/R1BQ1RK1 b - - 2 9,-35.0
rnb1r3/pppp1kpp/8/8/3PnQ1q/8/PPP3PP/RNB2K1R b - - 0 10,-517.0
rn2kb1r/ppp2ppp/3pbq2/6NQ/2B1Pp2/8/PPPP1PPP/R1B1K2R w KQkq - 2 9,362.0
r4rk1/pp3ppp/2pp3q/4nR2/4P3/2R5/PP4PP/1B1Q2K1 b - - 0 20,-271.0
5rk1/p5pp/2P4q/1p1P4/3Q1pR1/2P2r1P/b5P1/6K1 w - - 0 37,-237.0
8/8/8/p1pPP1p1/P2p3p/R2P1k2/1r6/6K1 w - - 0 50,-173.0
r1bqkbnr/pp1npppp/2p5/3p4/3P4/6P1/PPP1PPBP/RNBQK1NR w KQkq - 2 4,-18.0
3r3k/ppp3pp/4Q3/8/5P2/2P5/P5PP/1q1BK2R w K - 0 21,170.0
7k/6p1/p6p/8/1P6/P2QPP1P/q5PK/8 b - - 0 38,475.0
2kr3r/ppp1qppp/5n1n/8/3P4/1BP4P/P3NPP1/R1BQ1RK1 w - - 1 17,586.0
r2qk2r/pppbbppp/4p3/1BPpP3/Q3n3/4P3/PP1B1PPP/RN2K2R w KQkq - 1 11,-69.0
r7/5Qpk/2B4p/p7/1P6/P5qn/3r2P1/R1R4K b - - 3 31,-288.0
r1b1k2r/ppppnp1p/2n2qp1/2b1p3/2B1P3/3Q1N2/PPPP1PPP/RNB1K2R w KQkq - 6 7,-25.0
r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq - 4 4,43.0
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,-9.0
1r3rk1/3bqppp/p1p1p3/2p1P3/P1Pp4/1P1P1N2/2Q2PPP/R2R2K1 b - - 0 18,51.0
1r1q1rk1/5pp1/p1pbbn1p/3p4/3p3B/1PP2N1P/P4PP1/RN1QR1K1 w - - 0 15,-24.0
r2q1rk1/1p1n1pp1/p1pbp1np/3p4/1PPPN1P1/P1N1P2P/1B2BP2/R2QK2R b KQ - 0 13,144.0
r2qk1nr/pbpp1pbp/1pn3p1/3Pp3/2P1P3/2NB1N2/PP3PPP/R1BQK2R w KQkq - 0 8,334.0
5rk1/2pr3p/pp6/2pPR3/P1K2n2/5PNP/3R2P1/8 b - - 0 35,3.0
rnbq1rk1/ppp1n1pp/5p2/3p4/8/1BB1P3/PP2NPPP/R2QK2R b KQ - 1 10,8.0
r2qkbnr/ppp1pppp/2n5/3p1b2/7P/5P2/PPPPP1P1/RNBQKBNR w KQkq - 1 4,-128.0
4rrk1/ppp3pp/3p2p1/8/2P5/1P2P1QP/P1qR1PP1/3R2K1 b - - 4 21,71.0
rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,47.0
rnbqkbnr/pp1p1ppp/8/3Np3/4P3/5N2/PPP2PPP/R1BQKB1R b KQkq - 0 6,183.0
r1bqkbnr/pp1ppppp/8/2pPn3/4P3/2N5/PPP2PPP/R1BQKBNR b KQkq - 2 4,183.0
rnbqk1nr/ppppppbp/6p1/8/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq - 0 3,-13.0
r1bqk2r/pp2ppbp/2np1np1/2p5/2B1P3/2NP1Q1P/PPP2PP1/R1B1K1NR b KQkq - 0 7,-54.0
rnbqkb1r/pppp1ppp/5n2/4p3/2B1P3/8/PPPP1PPP/RNBQK1NR w KQkq - 2 3,1.0
r4rk1/pp1nq1pp/2pbb3/3pNp2/3PnP2/2NBP1P1/PPQB3P/2K3RR b - - 6 14,-89.0
8/6k1/R6p/4r3/8/8/4K3/8 w - - 1 51,-24.0
r3r1k1/1p3pp1/p5n1/4NQ2/5BP1/1P5P/PqP2P2/5RK1 b - - 2 30,-439.0
r1bqk2r/ppppppbp/2n2np1/8/2BP1B2/2N1P3/PPP2PPP/R2QK1NR b KQkq - 2 5,30.0
rn2k2r/pbb4q/2p2p2/3p1p2/Q1p3pP/2P1P3/PP1P1PBP/R1B2RK1 w kq - 1 21,-462.0
2kr1br1/p2n1p1p/1pp3b1/3p4/N1P5/1B1PB3/PP5P/2K2R2 w - - 0 20,-498.0
rnbqkb1r/ppp1pppp/8/3n4/8/2NP4/PP2PPPP/R1BQKBNR b KQkq - 1 4,2.0
r1bqkbnr/pp1ppppp/2n5/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,-112.0
rnbq1rk1/pp3ppp/2p1pn2/3p4/2PP4/5NP1/PPQNPPBP/R4RK1 b - - 1 9,89.0
r2qkb1r/p4ppp/1p2pn2/2n5/2B5/1Q2PN2/PP3PPP/R1B2RK1 w kq - 0 12,177.0
B4kr1/p6p/1p1R1b2/4n3/8/8/PP3PPP/4R1K1 b - - 0 23,406.0
r3r1k1/pppq1pbp/4bnp1/3pp3/1nP5/3PPP2/P1QBB1PP/RN2K1NR w KQ - 0 13,-85.0
r1bqkb1r/ppp2ppp/2n1p3/6B1/2PP4/5N2/PP3PPP/R2QKB1R b KQkq - 2 8,22.0
rnbqkbnr/p1pp1ppp/1p2p3/8/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,69.0
3rr1k1/pp2bppp/1q1p1n2/2pN4/4PB2/7P/PPPQ1PP1/1R2R1K1 b - - 2 16,41.0
Nnb3k1/pp2qp1p/6p1/8/8/1P5P/P1PNnPP1/b3K2R b K - 0 18,-709.0
2k5/1p6/p1p5/P1P1pp2/5r2/3P4/1RP1KP1r/5R2 w - - 0 30,-59.0
r2qk1nr/1b3pp1/p1p1p2p/1pPpP3/nP1Q4/P4N2/2P1BPPP/R1B1K2R b KQkq - 2 12,187.0
5q2/p5kp/1bp3p1/4r3/4N1Q1/1B6/PP3PPP/5RK1 w - - 5 32,447.0
rnbqkbnr/pp2pppp/2p5/8/2QP4/8/PP2PPPP/RNB1KBNR b KQkq - 0 4,22.0
r4rk1/pp1bpp1p/3p2p1/q1pP4/8/PP2PN2/5PPP/bBBQ1RK1 w - - 0 14,-323.0
r6k/pp3ppB/2p1p3/q7/1n6/2Nr4/PP1K2PP/1Q5R w - - 0 22,-103.0
r1bqkbnr/pppp1ppp/2n5/8/3QP3/8/PPP2PPP/RNB1KBNR w KQkq - 1 4,11.0
rn1qk2r/ppp1b2p/3p1n2/4pP2/5pp1/2NP2P1/PPP2PBP/R1BQK2R w KQkq - 1 10,205.0
r1bqr1k1/pp1nppbp/2pp1np1/8/4P3/3P1NP1/PPPN1PBP/R1BQR1K1 w - - 7 9,11.0
rn1q1rk1/ppp1bppp/5n2/3p4/3P1Bb1/2PB1N2/PP1N1PPP/R2QK2R b KQ - 6 8,29.0
r3kb1r/ppp1pppp/5n2/8/2P2Bb1/2N5/PPP2PPP/R3K1NR b KQkq - 0 10,-71.0
4r1k1/pp4pp/1n2r3/3ppp2/8/1PPP1P1P/P2N2P1/4RRK1 w - - 3 20,-13.0
r3k2r/p1pbnpp1/2pp1q1p/2b5/4P3/3P1N1P/PPPN1PP1/R1BQK2R w KQkq - 1 11,118.0
8/p5pp/k1p5/1p3P2/7q/PQ6/6K1/1R3R2 b - - 3 40,265.0
r5k1/5pp1/p3p2p/8/1PpP4/7P/P1B2PK1/R7 b - - 0 27,406.0
r3r3/pbk3pp/1p6/3P4/1Pn5/2N5/P4RPP/4R1K1 w - - 2 24,615.0
r1b1k2r/pp1nbppp/2p1pn2/q2P4/3P4/2N2NP1/PP2PPBP/R1BQR1K1 b kq - 0 9,99.0
rnbqk1nr/1p1p1ppp/p1pb4/1P2p3/P7/8/1BPPPPPP/RN1QKBNR w KQkq - 2 5,-29.0
r1bqkbnr/pp1ppppp/2n5/2p5/2B1P3/8/PPPP1PPP/RNBQK1NR w KQkq - 2 3,49.0
r3r1k1/pppb1pp1/5q1p/2Pp4/8/2P1B3/PP3PPP/R2QR1K1 w - - 3 18,-16.0
8/8/7K/p3k1p1/Pp4P1/1P6/6P1/8 w - - 1 50,166.0
8/8/7p/3k4/5K2/8/7P/8 w - - 1 50,-38.0
rn1qk2r/pp1b2pp/3bpn2/2p2p2/7Q/N1P2N2/PP1P1PPP/R1B1KB1R b KQkq - 3 10,-63.0
rnbq1rk1/pp2ppbp/2p3p1/3B4/3P4/2N1PN2/PP3PPP/R1BQK2R b KQ - 0 8,12.0
rnbqkb1r/ppp2pp1/4p2p/3p1n2/3P4/P3PN1P/1PP2PP1/RNBQKB1R w KQkq - 1 6,27.0
8/5k1p/p1R3p1/3Pp3/6P1/P3p3/4K2P/7R b - - 3 37,799.0
r1b1k2r/1pp2pbp/p1nq1np1/3pp1P1/1P6/N1P1P2P/PB1P1P2/R2QKBNR b KQkq - 0 10,-222.0
2kr1r2/1bp4p/1p2p1p1/1N2N3/8/2P3P1/1P2BbPP/R6K b - - 1 22,-308.0
4Qb1r/4kp2/4pN1p/p5p1/3P2PP/2P2N2/P4P2/R3K2R b KQ - 4 25,926.0
r4rk1/ppp2p1p/2nbp2q/6p1/3PpP2/1PP1P3/P5PP/R2QBRK1 w - - 2 17,-416.0
r2qk1nr/pb1pppbp/1pn3p1/2p5/2B1P3/2NP1N2/PPP2PPP/R1BQ1RK1 w kq - 1 7,44.0
r4rk1/pp2qpp1/2n1p2p/3pPn1P/1p1P4/3Q1N2/P1PN1PP1/R3R1K1 b - - 4 14,-181.0
r1bqk2r/pppppp1p/2n2bp1/8/4P3/2PP4/PP3PPP/RN1QKBNR w KQkq - 0 6,-36.0
8/8/pppk1p1p/3P4/2P1K1P1/1P5P/P7/8 b - - 0 42,328.0
r1bqr1k1/ppbp1ppp/2n5/8/8/2PQ4/PP1PBPPP/R1B1K1NR b KQ - 4 13,-158.0
2b2rk1/5pp1/8/1pp3p1/4P3/1B1P1N1P/2P3P1/6K1 w - - 0 25,-234.0
r2qkb1r/pppb1ppp/2n1pn2/3p4/8/1PPP4/PBQ1PPPP/RN2KBNR w KQkq - 2 6,-52.0
r4rk1/ppp2p1p/3p1Bb1/4p3/2B1P1PP/2qP1Q2/P4P2/K2R2R1 w - - 4 21,179.0
r1b1k2N/ppp3pp/3p4/n1b1p3/2B1P3/3P1q1P/PPP3PK/RNB5 w q - 0 13,-18.0
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,-9.0
5r2/p3n1kp/2n1pq2/2p2pN1/2P2P2/1P4P1/P1Q3BP/3R2K1 w - - 1 26,270.0
r2qk2r/pppnbppp/8/3np1B1/4P3/5Q2/PPP2PPP/3RKB1R w Kkq - 0 10,-231.0
r1b2rk1/1pp2pp1/p2p1q1p/2bPp3/2P1Pn2/2N4P/PP1NBPP1/R2Q1RK1 w - - 2 13,-151.0
8/1p6/3p1p1k/3Pp2P/3pP3/8/5K2/8 w - - 2 39,-374.0
r4rk1/pppqbppp/3p4/8/4P3/2NB1KR1/PP3P2/R1B5 b - - 2 16,-498.0
rnbq1rk1/pp2bp2/4p1p1/8/4B3/2p1B2Q/PP3PPP/RN2K2R b KQ - 1 13,-189.0
1bb4r/5k1p/p7/PpR2p2/4p1pP/1P1nN1P1/6BK/8 b - - 1 31,-656.0
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,-9.0
6k1/6pp/8/r7/6P1/1R6/7P/7K b - - 0 43,-602.0
r6k/p3p2p/1p1p4/2n5/2P4b/1P1q2R1/P2B3P/1R1QK3 b - - 5 31,-609.0
1k1r1n1r/ppq3p1/2p2b2/2P2B1p/1PQP2p1/8/P6P/R1B2RK1 w - - 5 23,-23.0
r2k1b1r/5p2/p2p1p2/1pp4p/3pP3/1b1P1N1P/PPP2PP1/2KR3R w - - 0 17,29.0
5r2/p1q1n1kp/2n1p3/2p2pp1/2P5/1P3NP1/P1Q2PBP/3R2K1 w - - 0 24,247.0
2rqk2r/p2nnpbp/1p1p2p1/2pN4/8/4PNP1/PP1B1PBP/R2QR1K1 b k - 0 13,110.0
2r2rk1/2qb1ppp/1p2pb2/p2p4/P7/1NP3PB/1P1QPP1P/R4RK1 w - - 0 17,-85.0
r1bq1rk1/ppp2ppp/2np1n2/1Bb1p3/4P3/2P2N2/PP1P1PPP/RNBQR1K1 w - - 1 7,28.0
4r1k1/1pb3p1/p4r2/P2p1N2/1P2pP2/2PbB3/1K3R2/3R4 w - - 4 38,-64.0
rnb2b2/ppppk2Q/5qp1/8/8/8/PPPNNPPP/R2K1B1R b - - 0 12,540.0
r2qr1k1/ppp1b1p1/n4npp/3p4/3P1BP1/2N2N1P/PPP2P2/R2Q1RK1 w - - 0 14,39.0
r1bqkbnr/ppp1pppp/8/3P4/4PP2/3Q4/PP4PP/RNB1K1NR b KQkq - 0 7,42.0
r1b1kbnr/pp2qppp/8/4P3/4p3/8/PP3PPP/R1BQKBNR w KQkq - 1 9,494.0
4k2r/3b2n1/3p2p1/2p3q1/pp2PN2/3P4/PPP2QB1/1K1R4 w - - 2 27,69.0
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,31.0
rnbqkb1r/pppp1ppp/5n2/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,36.0
rn2k1nr/1p3p2/p1pp1q1b/3Pp2p/P1P1P3/3BNQP1/1P3B1P/R3K2R w KQkq - 1 19,222.0
rnb1kbnr/pppp1ppp/5q2/4p3/2B1P3/8/PPPP1PPP/RNBQK1NR w KQkq - 2 3,35.0
r1bqr1k1/p3bpp1/1pp1pnnp/2Pp4/3P4/2NBPNB1/PP3PPP/2RQ1RK1 w - - 0 13,122.0
4rr2/pp1n1p1k/2pb2pp/3p4/3Pb3/5N1P/PPPQ1PP1/R4RK1 w - - 6 18,225.0
r2qkb1r/1bpn1ppp/p3pn2/1p6/3P4/1BN1BN2/PPP2PPP/R2QK2R w KQkq - 2 10,-32.0
r2q1rk1/pp1nbppp/2p1pnb1/8/8/1PN1Q1PP/PB1PNPB1/R4RK1 w - - 3 15,-148.0
2r1kb1r/p7/2p2p2/5Rp1/Q3p2q/P1N1P3/1P4P1/R1B3K1 b k - 4 22,-10.0
8/p1p4K/2p2k2/8/3p4/3P3P/PPP2P2/8 b - - 0 39,383.0
r3kb1r/p1p2ppp/2p5/4p3/8/3P1P1P/PPP2P2/R1B1K2R b KQkq - 0 11,4.0
2bqr1k1/2r2p1p/p3pnp1/1p1p4/1P1P4/P2B3P/2PQ1PP1/R3R1K1 w - - 2 20,-530.0
r2qkbnr/ppp2ppp/2np4/4p3/2B1P1b1/2P2N2/PP1P1PPP/RNBQ1RK1 b kq - 0 5,81.0
r2qk2r/p2nbp2/1pn1p3/2ppP2p/3P2pP/2P2NP1/PP2NPK1/R1BQ3R w kq - 0 14,75.0
rn1qkbnr/1p1b1ppp/p3p3/2ppP3/3P4/5N2/PPP1QPPP/RNB1KB1R w KQkq - 0 6,-40.0
3k3r/1b1pnppp/7n/3q4/1p6/5N1P/PP2BPP1/R1B2RK1 b - - 1 22,-237.0
r3r3/p1pk1p1p/2p3bb/3pp3/6P1/4N3/PPP4N/1K1R4 b - - 1 22,-752.0
8/8/8/5n1p/7k/r7/1R4K1/8 b - - 9 61,-432.0
rnbqk2r/ppp1bppp/4pn2/6B1/2pP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 2 6,-24.0
rn1qkbnr/ppp2ppp/4p3/3pPb2/3P4/8/PPP2PPP/RNBQKBNR w KQkq - 0 4,1.0
3r1k1r/p1p2ppp/1p6/1P1P4/3Pb1P1/N2nP2P/P2K3R/R5N1 w - - 1 22,47.0
5r1k/ppqR2pp/n1p3b1/8/6Q1/1BP1B1N1/P1P2PPP/6K1 b - - 4 21,461.0
1k1r4/1p1n3p/3N4/8/4pN2/1P6/P1P2PPP/R3R1K1 b - - 0 26,838.0
8/4B3/8/7p/7P/5r2/5P1k/5K2 b - - 12 63,-22.0
1r3rk1/5pb1/1q1p1np1/Rb1PpP1p/1Pp1P3/2Q3PP/1P2N1BK/5R1N b - - 8 30,-77.0
r1bqk1nr/ppp2ppp/2nb4/8/3pP3/5N2/PP1PNPPP/R1BQKB1R w KQkq - 0 7,20.0
8/8/1k5p/p1p2B2/1n4K1/1P2P3/8/8 b - - 1 43,-174.0
5r2/pp4pp/4k3/2p1N3/8/8/PqP3PP/R3Q1K1 b - - 2 21,-14.0
3rr1k1/pp1q1ppp/2p2n2/2Pp4/4b3/PP2P1NP/1BPN2BK/R2Q1R2 b - - 0 17,329.0
4r1k1/1B1b1ppp/4p3/1pP5/p1n5/P1P3P1/2K4P/R2R4 b - - 0 27,-274.0
1nkr3r/pbppqp2/1p2pn1p/3P4/3BP1p1/P1QB1N1P/1PP2PP1/R4RK1 w - - 0 14,375.0
2kr2nr/ppp2ppp/2nb4/5b2/Q1P3q1/5NP1/PP2P1BP/RNB2RK1 w - - 2 11,6.0
rnbqkb1r/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 2,48.0
7r/p4k2/1p2p1p1/2p5/6rP/3PR2K/PPP5/8 w - - 0 36,21.0
r1bqkb1r/ppp2ppp/2n1p3/3N4/3P4/5N2/PPP2PPP/R1BQKB1R b KQkq - 0 6,54.0
8/Q7/1pk5/8/1P1p4/8/7K/R7 w - - 2 51,633.0
4r1k1/Q5b1/2p3pp/1p1q1p2/7P/P1P1B1P1/1P3P2/5RK1 b - - 0 31,115.0
8/8/p1k5/P1p1p3/2P1P1p1/4K1P1/8/8 w - - 14 63,-35.0
r2qk2r/2p3p1/pb1ppn1p/1p6/1n2P3/5N1P/PPB2PP1/RNBQ1RK1 w kq - 0 14,396.0
3rkb1r/R2b2pp/2p1p3/8/4NP2/8/P1P3PP/6K1 w k - 0 27,-635.0
8/p5b1/2p5/4k1P1/3pp2p/2P1B2P/PP4BK/5R2 w - - 0 37,780.0
6r1/p4k2/4p2B/3pPp2/b1pP3b/P1P2RP1/5K2/8 b - - 1 36,-472.0
r2qk2r/ppp2ppp/2p2n2/2b1p2b/4P1P1/2N2N1P/PPPP1P2/R1BQ1RK1 b kq - 0 8,-77.0
rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq - 1 3,-1.0
r2qkbnr/p2p2pp/b1p1pP2/2p5/8/3P1N2/PPP2PPP/RNBQK2R b KQkq - 0 7,56.0
r1bq1rk1/ppp1bppp/3p1n2/8/4PB2/2PP1n2/PP2N1PP/RN1Q1RK1 w - - 0 10,-65.0
8/2p3kp/1pK3p1/p1p5/8/6r1/4r3/8 w - - 0 39,-904.0
6k1/5ppp/4p3/8/1p6/3P4/1b3PPP/2qQ1K2 w - - 0 32,-468.0
8/5pk1/6p1/3QPq1p/8/p5KP/P5P1/8 b - - 4 50,-42.0
r1bqk2r/pp2npbp/2n3p1/2pp2N1/2B5/P1PP4/1P3PPP/RNBQK2R w KQkq - 0 9,-136.0
r2k1b1r/pppb3p/5n2/3Bp3/4P1p1/8/PPPN1PPP/R1B2RK1 b - - 1 11,100.0
2kr1bnr/ppp2ppp/8/3p4/5P1q/2NPQ3/PPP3PP/R4R1K b - - 4 13,-420.0
2r3k1/3q1p1p/6p1/8/2P3P1/1p3R1P/pB1p1P2/K2R4 b - - 0 38,-405.0
r2qk1nr/2p1bppp/p1pp4/7b/3PPB2/5N1P/PPP3P1/RN1Q1RK1 w kq - 1 10,60.0
3r4/6kp/5p2/3P1p2/r1P5/4KP2/4N1PP/2R5 w - - 2 33,191.0
rn1q1rk1/1bp1bppp/p3pn2/1p6/3P1B2/1BNQ1N2/PPP2PPP/R3R1K1 b - - 3 11,13.0
2bqr1k1/p4pbp/1p2p1n1/3pP2p/3P4/1P1B1NP1/PB1Q1PK1/7R b - - 4 22,221.0
rn1qkbnr/pp2pppp/8/2ppP3/3P2Q1/8/PPP2PPP/RNB1KBNR b KQkq - 0 4,392.0
r4rk1/ppp2ppp/8/4qb1n/1bBn4/2N2P2/PP1B1QPP/R3K1NR w KQ - 0 14,-352.0
