fen,score
r2q2k1/4rpp1/3N2R1/p7/Pp2pB1b/1Q1P1P2/1P1K4/R7 b - - 0 31,115.0
r2q1rk1/pp2ppbp/2np1np1/2p5/4PP2/3P1BP1/PPP1N2P/R1BQK2R w KQ - 3 10,-9.0
r1b5/ppp2rpk/2n1p1Np/2b2p2/4pP2/6N1/PPP1BqPP/R1BQ3K w - - 6 19,-236.0
rnbqkbnr/ppp2ppp/3pp3/8/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 1 3,93.0
3r1r1k/ppq1b1pp/8/3p4/1P1QN3/P4N2/1BP2PPP/R4RK1 b - - 0 19,595.0
rnbqkbnr/pppp1ppp/8/4p3/8/4P3/PPPP1PPP/RNBQKBNR w KQkq - 0 2,10.0
3rk1nr/pb2p1bp/p3Pqp1/P1p2p2/R2N1PP1/2N1B3/1PP4P/3Q1RK1 b k - 0 16,-257.0
8/8/b7/8/4QP2/k1p5/P1P3PP/2K5 b - - 0 40,533.0
8/2Q3pk/3P3p/8/3p4/r4P2/6PP/6K1 w - - 0 40,426.0
8/8/8/6k1/R2K4/7p/4r3/8 w - - 0 62,9.0
r1b2Bk1/1p4pp/p4qp1/3pp3/3P4/1PN1P2P/P4PP1/R1Q2RK1 b - - 0 23,354.0
rnb1kbnr/ppp3pp/8/8/3pq3/5N2/PPP1PPPP/R1BQKB1R w KQkq - 0 8,-237.0
r3k1nr/pp4pp/2n1p1b1/1Q6/3q2P1/7P/P2P2B1/RNB1K2R w KQkq - 0 16,652.0
8/5k2/5P2/p1Nn3p/P7/r7/7P/5RK1 w - - 1 40,7.0
rnbqkbnr/pppp1ppp/8/4p3/2B1P3/8/PPPP1PPP/RNBQK1NR b KQkq - 1 2,-8.0
1k1r4/bpp2p1p/p2p4/P7/1P1nn1B1/6qP/6K1/2R2R2 w - - 2 26,-829.0
r2qk2r/p1p2pbp/3p1Bp1/2p5/4P3/6N1/PPP2PPP/RN1b1RK1 w kq - 0 12,2.0
8/8/k7/2Q5/8/p7/P1Q2PP1/6K1 w - - 3 38,835.0
rnbqkbnr/pp3ppp/2p1p3/3p4/4P3/3P1N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,-14.0
2kr1b1r/ppp2ppp/8/4p3/3n2P1/1B2Bb1P/PPP2P2/3R2K1 w - - 2 18,-645.0
rnbqkbnr/pp1p1ppp/4p3/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,69.0
rn1q1rk1/pbp1bppp/1p2p3/1P6/2PPpB2/P6P/4PPP1/R2QKBNR b KQ - 0 10,-150.0
r1b1kbnr/pp4pp/2n1pP2/2p5/2P5/5N2/PPP2PPP/RNBK3R b kq - 0 8,-435.0
rn4nr/p4k1p/b3ppp1/4P3/7B/8/P1P2P1P/1R1QKNq1 b - - 1 18,-657.0
r1bqk2r/1pp2pp1/p1np1n1p/2b1p3/P1B1P3/3P1N2/1PP1NPPP/R1BQ1RK1 b kq - 0 8,14.0
r1b1kb1r/1p2pppp/p1nq1n2/1B1pN3/Q2P4/4P3/PP3PPP/RNB1K2R w KQkq - 2 9,88.0
2rk4/pR4p1/3r2n1/8/B7/8/P5PP/B6K w - - 3 33,-25.0
2r3k1/pp3ppp/1q2p3/3pQ3/1P1P4/P1R2P1P/6P1/5RK1 b - - 0 23,-178.0
r1b1r3/pp3kp1/3q1n1p/2p5/4P3/2N5/PPP2PPP/R4RK1 w - - 2 14,-625.0
rn1qk2r/ppp1bppp/3pbn2/4p1B1/2B1P3/N2P4/PPP2PPP/R2QK1NR w KQkq - 5 6,-8.0
3r4/6kp/1p2q1p1/1Np2p2/2P1p3/1P2P1PP/P5P1/4QRK1 w - - 0 31,543.0
6k1/r1p2pp1/2p5/1q5p/2pPPB1P/P1Q2P2/5KP1/8 w - - 1 34,-259.0
8/8/6p1/5n2/8/2Q3rp/5k1K/8 w - - 24 90,4.0
6k1/pb4p1/1p5p/4RP2/2qp4/P6P/1PP2QP1/5RK1 w - - 0 33,518.0
r4rk1/pb1nq1pp/1p2p3/3pp2Q/3P4/3B4/PPPN2PP/R4RK1 b - - 1 17,-192.0
1r6/2p3pp/3k1p2/6Pn/3B4/2P5/b1K2P1P/4R3 w - - 0 32,-422.0
rn2k1nr/pbppq3/1p2pp1b/6pp/2B1P3/P1NPBN2/1PPQ1PPP/2KR3R b kq - 0 9,129.0
2rqr1k1/1b4pp/p1p2bp1/1p1pN3/1P1Pn3/P2QPN1P/1BR2PP1/2R3K1 b - - 1 20,80.0
r1bqkb1r/1p3ppp/p1nppn2/8/2P5/P1N2N1P/1P2PPP1/R1BQKB1R b KQkq - 1 8,24.0
r6r/3bkppp/p2Np3/3pn3/2p5/2N3P1/PP3PKP/3R1R2 w - - 0 22,-103.0
4k3/5p2/r1K5/1p1p2p1/2bb4/4n3/8/8 w - - 2 41,-925.0
8/8/p1k5/1p5R/P2p4/1P6/5K2/8 w - - 0 43,554.0
